method_name,acc,rec,prec,trial,ratio,percentage_of_known_labels
SAGE_GCN,57.14286,100,57.14286,1,2,0.06
SAGE_GCN,57.14286,100,57.14286,1,2,0.09
SAGE_GCN,57.62987,50.85227,78.71126,1,2,0.12
SAGE_GCN,57.14286,100,57.14286,1,2,0.15
SAGE_GCN,58.36237,54.26829,38.47037,1,2,0.18
SAGE_GCN,29.29476,53.16456,21.4202,1,2,0.21
SAGE_GCN,57.44681,50.53191,78.65854,2,2,0.06
SAGE_GCN,70.48666,73.62637,72.76593,2,2,0.09
SAGE_GCN,57.14286,100,57.14286,2,2,0.12
SAGE_GCN,14.28571,100,14.28571,2,2,0.15
SAGE_GCN,14.28571,100,14.28571,2,2,0.18
SAGE_GCN,14.28571,100,14.28571,2,2,0.21
SAGE_GCN,57.14286,50,28.65854,3,2,0.06
SAGE_GCN,14.28571,100,14.28571,3,2,0.09
SAGE_GCN,75.32468,81.81818,78.54419,3,2,0.12
SAGE_GCN,57.14286,100,57.14286,3,2,0.15
SAGE_GCN,14.28571,100,14.28571,3,2,0.18
SAGE_GCN,14.28571,100,14.28571,3,2,0.21
SAGE_GCN,14.28571,100,14.28571,4,2,0.06
SAGE_GCN,57.14286,100,57.14286,4,2,0.09
SAGE_GCN,57.14286,100,57.14286,4,2,0.12
SAGE_GCN,14.28571,100,14.28571,4,2,0.15
SAGE_GCN,57.14286,100,57.14286,4,2,0.18
SAGE_GCN,57.14286,100,57.14286,4,2,0.21
SAGE_GCN,57.14286,100,57.14286,5,2,0.06
SAGE_GCN,58.71272,52.74725,70.78667,5,2,0.09
SAGE_GCN,57.62987,51.70455,44.0429,5,2,0.12
SAGE_GCN,57.31092,50.58824,33.32619,5,2,0.15
SAGE_GCN,57.14286,100,57.14286,5,2,0.18
SAGE_GCN,14.28571,100,14.28571,5,2,0.21
SAGE_GCN,14.28571,100,14.28571,1,2.5,0.06
SAGE_GCN,79.74882,89.56044,79.96145,1,2.5,0.09
SAGE_GCN,29.54545,53.40909,21.52967,1,2.5,0.12
SAGE_GCN,57.14286,100,57.14286,1,2.5,0.15
SAGE_GCN,61.14983,64.02439,46.14248,1,2.5,0.18
SAGE_GCN,57.14286,100,57.14286,1,2.5,0.21
SAGE_GCN,58.96657,56.38298,39.8686,2,2.5,0.06
SAGE_GCN,57.14286,100,57.14286,2,2.5,0.09
SAGE_GCN,14.28571,100,14.28571,2,2.5,0.12
SAGE_GCN,14.28571,100,14.28571,2,2.5,0.15
SAGE_GCN,83.44948,96.79878,82.18182,2,2.5,0.18
SAGE_GCN,60.57866,62.02532,44.31548,2,2.5,0.21
SAGE_GCN,57.14286,100,57.14286,3,2.5,0.06
SAGE_GCN,57.45683,51.0989,36.85897,3,2.5,0.09
SAGE_GCN,58.6039,55.11364,41.80556,3,2.5,0.12
SAGE_GCN,14.28571,100,14.28571,3,2.5,0.15
SAGE_GCN,62.36934,68.29268,48.47751,3,2.5,0.18
SAGE_GCN,57.14286,100,57.14286,3,2.5,0.21
SAGE_GCN,57.14286,100,57.14286,4,2.5,0.06
SAGE_GCN,14.28571,100,14.28571,4,2.5,0.09
SAGE_GCN,57.14286,100,57.14286,4,2.5,0.12
SAGE_GCN,84.70588,98.97059,82.82583,4,2.5,0.15
SAGE_GCN,59.93031,59.7561,42.64296,4,2.5,0.18
SAGE_GCN,60.75949,62.65823,44.7718,4,2.5,0.21
SAGE_GCN,57.14286,100,57.14286,5,2.5,0.06
SAGE_GCN,14.28571,100,14.28571,5,2.5,0.09
SAGE_GCN,57.46753,51.13636,33.67666,5,2.5,0.12
SAGE_GCN,57.14286,100,57.14286,5,2.5,0.15
SAGE_GCN,58.7108,55.4878,38.93434,5,2.5,0.18
SAGE_GCN,83.5443,96.83544,82.53968,5,2.5,0.21
SAGE_GCN,14.28571,100,14.28571,1,3,0.06
SAGE_GCN,29.51334,53.84615,20.8284,1,3,0.09
SAGE_GCN,14.28571,100,14.28571,1,3,0.12
SAGE_GCN,84.87395,98.52941,85.65202,1,3,0.15
SAGE_GCN,84.66899,98.17073,84.50832,1,3,0.18
SAGE_GCN,14.28571,100,14.28571,1,3,0.21
SAGE_GCN,57.14286,100,57.14286,2,3,0.06
SAGE_GCN,58.55573,54.94505,38.31269,2,3,0.09
SAGE_GCN,58.11688,53.40909,36.61734,2,3,0.12
SAGE_GCN,29.57983,53.52941,22.5666,2,3,0.15
SAGE_GCN,14.28571,100,14.28571,2,3,0.18
SAGE_GCN,84.26763,97.46835,82.52301,2,3,0.21
SAGE_GCN,57.14286,100,57.14286,3,3,0.06
SAGE_GCN,14.28571,100,14.28571,3,3,0.09
SAGE_GCN,14.28571,100,14.28571,3,3,0.12
SAGE_GCN,57.14286,100,57.14286,3,3,0.15
SAGE_GCN,61.32404,64.63415,46.19498,3,3,0.18
SAGE_GCN,14.28571,100,14.28571,3,3,0.21
SAGE_GCN,14.28571,100,14.28571,4,3,0.06
SAGE_GCN,60.59655,62.08791,44.65231,4,3,0.09
SAGE_GCN,14.28571,100,14.28571,4,3,0.12
SAGE_GCN,64.53782,75.88235,53.51213,4,3,0.15
SAGE_GCN,14.28571,100,14.28571,4,3,0.18
SAGE_GCN,57.14286,100,57.14286,4,3,0.21
SAGE_GCN,84.65046,98.1383,84.94916,5,3,0.06
SAGE_GCN,57.14286,100,57.14286,5,3,0.09
SAGE_GCN,62.5,68.75,49.23266,5,3,0.12
SAGE_GCN,57.14286,100,57.14286,5,3,0.15
SAGE_GCN,62.02091,67.07317,47.88361,5,3,0.18
SAGE_GCN,85.53345,99.68354,84.08,5,3,0.21
SAGE_GCN,58.20669,51.8617,78.87865,1,3.5,0.06
SAGE_GCN,57.14286,100,57.14286,1,3.5,0.09
SAGE_GCN,34.9026,72.15909,38.98416,1,3.5,0.12
SAGE_GCN,68.90756,91.17647,60.43525,1,3.5,0.15
SAGE_GCN,57.14286,100,57.14286,1,3.5,0.18
SAGE_GCN,85.53345,99.68354,83.7526,1,3.5,0.21
SAGE_GCN,57.59878,51.59574,34.09242,2,3.5,0.06
SAGE_GCN,84.4584,97.8022,84.90839,2,3.5,0.09
SAGE_GCN,64.44805,75.56818,53.22818,2,3.5,0.12
SAGE_GCN,57.14286,100,57.14286,2,3.5,0.15
SAGE_GCN,14.28571,100,14.28571,2,3.5,0.18
SAGE_GCN,66.72694,83.5443,58.2624,2,3.5,0.21
SAGE_GCN,14.28571,100,14.28571,3,3.5,0.06
SAGE_GCN,14.28571,100,14.28571,3,3.5,0.09
SAGE_GCN,84.74026,98.29545,84.6982,3,3.5,0.12
SAGE_GCN,88.06723,72.7451,92.26142,3,3.5,0.15
SAGE_GCN,85.71429,100,84.23182,3,3.5,0.18
SAGE_GCN,84.26763,97.46835,82.91342,3,3.5,0.21
SAGE_GCN,58.20669,53.7234,36.94302,4,3.5,0.06
SAGE_GCN,58.71272,55.49451,38.82928,4,3.5,0.09
SAGE_GCN,62.01299,67.04545,47.92162,4,3.5,0.12
SAGE_GCN,60.67227,62.35294,44.55353,4,3.5,0.15
SAGE_GCN,86.58537,69.20732,90.56273,4,3.5,0.18
SAGE_GCN,61.84448,66.4557,47.51677,4,3.5,0.21
SAGE_GCN,58.35866,54.25532,37.78064,5,3.5,0.06
SAGE_GCN,83.98744,96.97802,81.69975,5,3.5,0.09
SAGE_GCN,14.28571,100,14.28571,5,3.5,0.12
SAGE_GCN,13.78151,47.64706,15.94022,5,3.5,0.15
SAGE_GCN,63.41463,71.95122,50.81548,5,3.5,0.18
SAGE_GCN,85.17179,66.24473,89.85507,5,3.5,0.21
SAGE_GCN,61.70213,57.97872,79.93631,1,4,0.06
SAGE_GCN,14.28571,100,14.28571,1,4,0.09
SAGE_GCN,85.22727,99.14773,84.0463,1,4,0.12
SAGE_GCN,63.52941,72.35294,50.92692,1,4,0.15
SAGE_GCN,85.36585,99.39024,83.75105,1,4,0.18
SAGE_GCN,85.71429,100,83.9977,1,4,0.21
SAGE_GCN,85.71429,100,84.19928,2,4,0.06
SAGE_GCN,59.9686,59.89011,42.70309,2,4,0.09
SAGE_GCN,14.28571,100,14.28571,2,4,0.12
SAGE_GCN,85.88235,67.2549,90.62227,2,4,0.15
SAGE_GCN,85.71429,100,83.92702,2,4,0.18
SAGE_GCN,57.14286,100,57.14286,2,4,0.21
SAGE_GCN,57.14286,100,57.14286,3,4,0.06
SAGE_GCN,14.28571,100,14.28571,3,4,0.09
SAGE_GCN,62.01299,67.04545,47.81688,3,4,0.12
SAGE_GCN,63.02521,70.58824,50.11389,3,4,0.15
SAGE_GCN,92.68293,83.53659,93.64151,3,4,0.18
SAGE_GCN,14.28571,100,14.28571,3,4,0.21
SAGE_GCN,57.44681,51.06383,33.05747,4,4,0.06
SAGE_GCN,59.81162,59.34066,42.27799,4,4,0.09
SAGE_GCN,57.14286,100,57.14286,4,4,0.12
SAGE_GCN,63.36134,71.76471,50.91305,4,4,0.15
SAGE_GCN,92.50871,82.72358,95.02613,4,4,0.18
SAGE_GCN,63.47197,72.1519,51.04549,4,4,0.21
SAGE_GCN,85.41033,99.46809,85.01116,5,4,0.06
SAGE_GCN,34.69388,71.42857,32.23843,5,4,0.09
SAGE_GCN,61.36364,64.77273,46.2689,5,4,0.12
SAGE_GCN,57.14286,100,57.14286,5,4,0.15
SAGE_GCN,14.28571,100,14.28571,5,4,0.18
SAGE_GCN,88.0651,72.1519,91.69378,5,4,0.21
